n_his,gcn_h,att_h,ff_h,dropout,lr,wd,att_heads,val_rmse,elapsed_s
8,128,128,256,0.1,0.0001,0.001,2,1.145846,6.9
8,128,128,256,0.1,0.0001,0.001,4,1.151736,11.4
8,128,128,256,0.2,0.001,0.0001,2,1.222366,7.8
8,128,128,256,0.2,0.001,0.0001,4,1.250059,9.4
8,128,128,256,0.2,0.001,0.001,2,1.199148,9.5
8,128,128,256,0.2,0.001,0.001,4,1.232775,8.0
8,128,128,256,0.2,0.0005,0.0001,2,1.18698,11.7
8,128,128,256,0.2,0.0005,0.0001,4,1.172487,9.5
8,128,128,256,0.2,0.0005,0.001,2,1.191003,10.1
8,128,128,256,0.2,0.0005,0.001,4,1.145862,8.2
8,128,128,256,0.2,0.0001,0.0001,2,1.144129,11.0
8,128,128,256,0.2,0.0001,0.0001,4,1.144541,7.5
8,128,128,256,0.2,0.0001,0.001,2,1.153926,7.1
8,128,128,256,0.2,0.0001,0.001,4,1.147019,11.0
8,128,128,256,0.3,0.001,0.0001,2,1.219373,7.8
8,128,128,256,0.3,0.001,0.0001,4,1.247954,8.8
8,128,128,256,0.3,0.001,0.001,2,1.25549,7.6
8,128,128,256,0.3,0.001,0.001,4,1.224395,7.6
8,128,128,256,0.3,0.0005,0.0001,2,1.210653,6.7
8,128,128,256,0.3,0.0005,0.0001,4,1.193988,7.2
8,128,128,256,0.3,0.0005,0.001,2,1.188728,6.3
8,128,128,256,0.3,0.0005,0.001,4,1.194998,8.8
8,128,128,256,0.3,0.0001,0.0001,2,1.146728,6.5
8,128,128,256,0.3,0.0001,0.0001,4,1.137505,11.4
8,128,128,256,0.3,0.0001,0.001,2,1.140416,10.9
8,128,128,256,0.3,0.0001,0.001,4,1.14438,9.4
8,256,64,128,0.1,0.001,0.0001,2,1.220781,5.5
8,256,64,128,0.1,0.001,0.0001,4,1.14573,8.4
8,256,64,128,0.1,0.001,0.001,2,1.184135,13.1
8,256,64,128,0.1,0.001,0.001,4,1.19204,9.5
8,256,64,128,0.1,0.0005,0.0001,2,1.166851,7.1
8,256,64,128,0.1,0.0005,0.0001,4,1.201392,11.5
8,256,64,128,0.1,0.0005,0.001,2,1.209491,8.5
8,256,64,128,0.1,0.0005,0.001,4,1.219501,7.6
8,256,64,128,0.1,0.0001,0.0001,2,1.159819,7.5
8,256,64,128,0.1,0.0001,0.0001,4,1.151839,8.2
8,256,64,128,0.1,0.0001,0.001,2,1.166139,9.6
8,256,64,128,0.1,0.0001,0.001,4,1.159236,10.4
8,256,64,128,0.2,0.001,0.0001,2,1.144242,5.4
8,256,64,128,0.2,0.001,0.0001,4,1.174293,5.7
8,256,64,128,0.2,0.001,0.001,2,1.170912,4.6
8,256,64,128,0.2,0.001,0.001,4,1.16863,5.4
8,256,64,128,0.2,0.0005,0.0001,2,1.167573,5.7
8,256,64,128,0.2,0.0005,0.0001,4,1.189904,5.4
8,256,64,128,0.2,0.0005,0.001,2,1.175443,5.3
8,256,64,128,0.2,0.0005,0.001,4,1.213454,5.9
8,256,64,128,0.2,0.0001,0.0001,2,1.14606,5.1
8,256,64,128,0.2,0.0001,0.0001,4,1.149627,7.4
8,256,64,128,0.2,0.0001,0.001,2,1.158966,6.3
8,256,64,128,0.2,0.0001,0.001,4,1.149316,5.5
8,256,64,128,0.3,0.001,0.0001,2,1.258456,8.0
8,256,64,128,0.3,0.001,0.0001,4,1.184363,6.0
8,256,64,128,0.3,0.001,0.001,2,1.1609,5.6
8,256,64,128,0.3,0.001,0.001,4,1.200195,7.0
8,256,64,128,0.3,0.0005,0.0001,2,1.231026,6.1
8,256,64,128,0.3,0.0005,0.0001,4,1.196976,5.7
8,256,64,128,0.3,0.0005,0.001,2,1.21984,7.3
8,256,64,128,0.3,0.0005,0.001,4,1.181875,7.4
8,256,64,128,0.3,0.0001,0.0001,2,1.158349,10.2
8,256,64,128,0.3,0.0001,0.0001,4,1.13715,10.9
8,256,64,128,0.3,0.0001,0.001,2,1.147494,11.7
8,256,64,128,0.3,0.0001,0.001,4,1.144538,10.1
8,256,64,256,0.1,0.001,0.0001,2,1.190875,10.6
8,256,64,256,0.1,0.001,0.0001,4,1.165666,12.2
8,256,64,256,0.1,0.001,0.001,2,1.22905,12.4
8,256,64,256,0.1,0.001,0.001,4,1.211771,12.2
8,256,64,256,0.1,0.0005,0.0001,2,1.207486,12.7
8,256,64,256,0.1,0.0005,0.0001,4,1.201933,14.1
8,256,64,256,0.1,0.0005,0.001,2,1.201666,11.4
8,256,64,256,0.1,0.0005,0.001,4,1.203867,12.1
8,256,64,256,0.1,0.0001,0.0001,2,1.180455,10.5
8,256,64,256,0.1,0.0001,0.0001,4,1.15756,8.7
8,256,64,256,0.1,0.0001,0.001,2,1.154319,7.6
8,256,64,256,0.1,0.0001,0.001,4,1.156471,14.7
8,256,64,256,0.2,0.001,0.0001,2,1.25524,12.6
8,256,64,256,0.2,0.001,0.0001,4,1.250143,13.2
8,256,64,256,0.2,0.001,0.001,2,1.24123,12.1
8,256,64,256,0.2,0.001,0.001,4,1.141168,12.4
8,256,64,256,0.2,0.0005,0.0001,2,1.182875,12.0
8,256,64,256,0.2,0.0005,0.0001,4,1.190586,11.9
8,256,64,256,0.2,0.0005,0.001,2,1.248519,12.1
8,256,64,256,0.2,0.0005,0.001,4,1.190103,13.8
8,256,64,256,0.2,0.0001,0.0001,2,1.138095,12.8
8,256,64,256,0.2,0.0001,0.0001,4,1.150407,14.4
8,256,64,256,0.2,0.0001,0.001,2,1.145531,11.7
8,256,64,256,0.2,0.0001,0.001,4,1.157157,11.7
8,256,64,256,0.3,0.001,0.0001,2,1.162326,8.9
8,256,64,256,0.3,0.001,0.0001,4,1.198852,9.0
8,256,64,256,0.3,0.001,0.001,2,1.166415,9.2
8,256,64,256,0.3,0.001,0.001,4,1.19535,9.9
8,256,64,256,0.3,0.0005,0.0001,2,1.183251,10.5
8,256,64,256,0.3,0.0005,0.0001,4,1.221393,11.5
8,256,64,256,0.3,0.0005,0.001,2,1.196906,14.8
8,256,64,256,0.3,0.0005,0.001,4,1.207414,14.3
8,256,64,256,0.3,0.0001,0.0001,2,1.144512,13.4
8,256,64,256,0.3,0.0001,0.0001,4,1.157975,17.1
8,256,64,256,0.3,0.0001,0.001,2,1.157897,13.6
8,256,64,256,0.3,0.0001,0.001,4,1.15014,6.2
8,256,128,128,0.1,0.001,0.0001,2,1.239273,7.1
8,256,128,128,0.1,0.001,0.0001,4,1.240593,6.8
8,256,128,128,0.1,0.001,0.001,2,1.244395,6.0
8,256,128,128,0.1,0.001,0.001,4,1.185809,7.5
8,256,128,128,0.1,0.0005,0.0001,2,1.186761,6.9
8,256,128,128,0.1,0.0005,0.0001,4,1.174645,6.6
8,256,128,128,0.1,0.0005,0.001,2,1.163275,9.3
8,256,128,128,0.1,0.0005,0.001,4,1.171149,13.6
8,256,128,128,0.1,0.0001,0.0001,2,1.164259,14.5
8,256,128,128,0.1,0.0001,0.0001,4,1.162688,15.9
8,256,128,128,0.1,0.0001,0.001,2,1.162818,16.2
8,256,128,128,0.1,0.0001,0.001,4,1.160387,15.6
8,256,128,128,0.2,0.001,0.0001,2,1.176073,11.9
8,256,128,128,0.2,0.001,0.0001,4,1.208311,7.8
8,256,128,128,0.2,0.001,0.001,2,1.280947,7.8
8,256,128,128,0.2,0.001,0.001,4,1.204143,8.4
8,256,128,128,0.2,0.0005,0.0001,2,1.198509,8.0
8,256,128,128,0.2,0.0005,0.0001,4,1.204206,7.1
8,256,128,128,0.2,0.0005,0.001,2,1.224542,7.6
8,256,128,128,0.2,0.0005,0.001,4,1.180453,7.2
8,256,128,128,0.2,0.0001,0.0001,2,1.142681,6.6
8,256,128,128,0.2,0.0001,0.0001,4,1.146496,9.8
8,256,128,128,0.2,0.0001,0.001,2,1.157069,8.8
8,256,128,128,0.2,0.0001,0.001,4,1.164764,16.0
8,256,128,128,0.3,0.001,0.0001,2,1.227877,9.2
8,256,128,128,0.3,0.001,0.0001,4,1.207898,11.1
8,256,128,128,0.3,0.001,0.001,2,1.22941,11.4
8,256,128,128,0.3,0.001,0.001,4,1.258802,16.1
8,256,128,128,0.3,0.0005,0.0001,2,1.183468,9.0
8,256,128,128,0.3,0.0005,0.0001,4,1.188236,11.2
8,256,128,128,0.3,0.0005,0.001,2,1.209531,8.0
8,256,128,128,0.3,0.0005,0.001,4,1.169668,10.1
8,256,128,128,0.3,0.0001,0.0001,2,1.161035,13.7
8,256,128,128,0.3,0.0001,0.0001,4,1.156348,10.0
8,256,128,128,0.3,0.0001,0.001,2,1.155258,10.2
8,256,128,128,0.3,0.0001,0.001,4,1.144597,9.0
8,256,128,256,0.1,0.001,0.0001,2,1.191634,9.9
8,256,128,256,0.1,0.001,0.0001,4,1.167715,11.0
8,256,128,256,0.1,0.001,0.001,2,1.188278,7.9
8,256,128,256,0.1,0.001,0.001,4,1.157871,9.6
8,256,128,256,0.1,0.0005,0.0001,2,1.197814,9.0
8,256,128,256,0.1,0.0005,0.0001,4,1.153646,9.8
8,256,128,256,0.1,0.0005,0.001,2,1.208756,10.1
8,256,128,256,0.1,0.0005,0.001,4,1.172239,11.3
8,256,128,256,0.1,0.0001,0.0001,2,1.154316,7.4
8,256,128,256,0.1,0.0001,0.0001,4,1.161999,10.9
8,256,128,256,0.1,0.0001,0.001,2,1.173694,11.8
8,256,128,256,0.1,0.0001,0.001,4,1.164392,10.7
8,256,128,256,0.2,0.001,0.0001,2,1.172104,10.1
8,256,128,256,0.2,0.001,0.0001,4,1.176618,9.3
8,256,128,256,0.2,0.001,0.001,2,1.176623,9.1
8,256,128,256,0.2,0.001,0.001,4,1.210635,9.4
8,256,128,256,0.2,0.0005,0.0001,2,1.19028,10.1
8,256,128,256,0.2,0.0005,0.0001,4,1.177147,8.8
8,256,128,256,0.2,0.0005,0.001,2,1.212082,8.4
8,256,128,256,0.2,0.0005,0.001,4,1.186607,10.4
8,256,128,256,0.2,0.0001,0.0001,2,1.169904,17.1
8,256,128,256,0.2,0.0001,0.0001,4,1.159026,14.2
8,256,128,256,0.2,0.0001,0.001,2,1.159135,13.7
8,256,128,256,0.2,0.0001,0.001,4,1.154732,17.5
8,256,128,256,0.3,0.001,0.0001,2,1.318621,16.9
8,256,128,256,0.3,0.001,0.0001,4,1.158949,15.6
8,256,128,256,0.3,0.001,0.001,2,1.254715,13.1
8,256,128,256,0.3,0.001,0.001,4,1.259027,15.5
8,256,128,256,0.3,0.0005,0.0001,2,1.203173,12.9
8,256,128,256,0.3,0.0005,0.0001,4,1.187777,12.4
8,256,128,256,0.3,0.0005,0.001,2,1.193106,14.0
8,256,128,256,0.3,0.0005,0.001,4,1.185392,13.2
8,256,128,256,0.3,0.0001,0.0001,2,1.163814,18.5
