ticker_i,ticker_j,corr,pvalue,rel_type
WMT,T,-0.24479012191295624,3.705758672367665e-06,unconnected
WMT,BA,-0.5153055787086487,4.586881530252215e-25,unconnected
WMT,TJX,0.09796677529811859,0.06754891574382782,unconnected
WMT,GILD,-0.07882305979728699,0.14168603718280792,unconnected
WMT,ABT,0.08189534395933151,0.1267588585615158,unconnected
WMT,SCHW,0.012892276048660278,0.8103356957435608,unconnected
WMT,DE,0.45141395926475525,6.337313465140662e-19,unconnected
WMT,ETN,0.028566351160407066,0.5948246121406555,unconnected
WMT,PFE,0.48370233178138733,7.240161349150612e-22,unconnected
WMT,UNP,0.4759733974933624,3.914364465339761e-21,unconnected
WMT,WELL,0.009389327839016914,0.8612518310546875,unconnected
WMT,HON,0.48733392357826233,3.227769165465096e-22,unconnected
JPM,LLY,0.07484851777553558,0.16294729709625244,unconnected
JPM,XOM,-0.2133604884147644,5.8702931710286066e-05,unconnected
JPM,JNJ,0.0507713258266449,0.3443044424057007,unconnected
JPM,ORCL,-0.17416810989379883,0.0010867032688111067,upstream
JPM,COST,-0.17692314088344574,0.0009015805553644896,unconnected
JPM,NFLX,-0.19524937868118286,0.00024268928973469883,unconnected
JPM,BAC,0.7776194214820862,0.0,unconnected
JPM,ABBV,-0.12011443823575974,0.024832217022776604,unconnected
JPM,CAT,0.07467961311340332,0.16390128433704376,unconnected
JPM,CVX,-0.23981508612632751,5.8893583627650514e-06,unconnected
JPM,HD,-0.12830577790737152,0.01647266000509262,unconnected
JPM,INTC,-0.08346062153577805,0.11963801085948944,unconnected
JPM,PG,0.09805087000131607,0.06731276214122772,unconnected
JPM,CSCO,0.06469213962554932,0.22801950573921204,unconnected
JPM,KO,-0.06196672469377518,0.24825766682624817,unconnected
JPM,GE,-0.009030476212501526,0.8665037155151367,unconnected
JPM,AMAT,-0.1392279863357544,0.009204646572470665,unconnected
JPM,MS,0.7019338607788086,0.0,unconnected
JPM,UNH,-0.012443247251212597,0.8168214559555054,unconnected
JPM,MRK,-0.04592873156070709,0.39233389496803284,unconnected
JPM,GS,0.6568210124969482,1.961817850054744e-44,unconnected
JPM,RTX,-0.1283801645040512,0.01640971004962921,unconnected
JPM,WFC,0.7778936624526978,0.0,unconnected
JPM,PM,-0.2191801369190216,3.623493103077635e-05,unconnected
JPM,IBM,-0.09227866679430008,0.08517850190401077,upstream
JPM,AXP,-0.2032688707113266,0.0001314388937316835,unconnected
JPM,C,0.8197478652000427,0.0,unconnected
JPM,MCD,-0.2001752108335495,0.00016699385014362633,unconnected
